SDA,type,post,meas,treat,sfy,rgrp4,rgrp3,rgrp9,rgrp6,tot_tvst
,out,1,cnt,1,2016,0.0833333333,2.2777777778,,,2.3611111111
,out,1,cnt,1,2017,1.6666666667,1.6666666667,,,3.3333333333
,out,1,cnt,1,2018,,3.3333333333,,,3.3333333333
,out,1,cnt,0,2013,2.7062706271,1.7666666667,0.1666666667,,4.6396039604
,out,1,cnt,0,2014,3.3076923077,0.4166666667,0.1666666667,0.6666666667,3.891025641
,out,1,cnt,0,2015,0.7083333333,0.6666666667,0.2777777778,,1.6527777778
,out,1,cnt,0,2016,2.8452380952,1.5833333333,0.4166666667,0,4.8452380952
,out,1,cnt,0,2017,1.7011494253,1.9166666667,0.75,3.3333333333,5.117816092
,out,1,cnt,0,2018,1.2037037037,1.0833333333,2.3333333333,,6.9537037037
,out,1,cost,1,2013,458.59946644,353.35168457,,,811.95115101
,out,1,cost,1,2014,276.6025586,,,,276.6025586
,out,1,cost,1,2015,,122.131663,,,122.131663
,out,1,cost,1,2016,23.015833537,243.9816708,,,266.99750434
,out,1,cost,1,2017,438.21001519,138.11999512,,,576.33001031
,out,1,cost,1,2018,,168.67666626,,,168.67666626
,out,1,cost,0,2013,821.99053063,415.94634196,62.673334757,,1300.6102073
,out,1,cost,0,2014,868.00052483,171.67500814,10.469999949,218.12417479,1050.1455329
,out,1,cost,0,2015,272.23270734,139.96566569,5.1483331786,,417.34670621
,out,1,cost,0,2016,1300.8060628,102.35333369,14.170833588,0,1417.3302301
,out,1,cost,0,2017,593.25902464,206.88971837,73.4716657,17.396666209,947.09207442
,out,1,cost,0,2018,58.89981457,60.250834783,565.46665446,,1250.0839583
Bexar SDA,ed,1,cnt,1,2013,0.2955801105,0.099756691,0.25,,0.7286701348
Bexar SDA,ed,1,cnt,1,2014,0.2401960784,0.081232493,0.2204301075,0.2307692308,0.6758056758
