SDA,type,post,meas,treat,sfy,rgrp4,rgrp3,rgrp6,tot_tvst
Bexar SDA,out,1,cnt,0,2017,4.5820292477,1.3672573792,5.5865733541,13.274378552
Bexar SDA,out,1,cnt,0,2018,5.4840812845,1.4417074856,6.8684024088,15.209715349
Bexar SDA,out,1,cost,1,2013,547.56865627,432.83320079,,1868.3572296
Bexar SDA,out,1,cost,1,2014,527.47926797,414.42104308,1264.1978181,1962.1939979
Bexar SDA,out,1,cost,1,2015,478.95415788,384.88701062,1393.6060151,2202.3664515
Bexar SDA,out,1,cost,1,2016,562.97180118,383.46107386,1632.6403272,1846.0845783
Bexar SDA,out,1,cost,1,2017,594.64808137,347.75970442,1522.8942804,2498.8981769
Bexar SDA,out,1,cost,1,2018,618.67732914,325.2402086,1255.8994035,2503.7718087
Bexar SDA,out,1,cost,0,2013,516.24124682,284.1817917,,2221.227414
Bexar SDA,out,1,cost,0,2014,648.19718177,215.15972023,1080.718198,1584.9490611
